ACCESIBILIDAD SIN EXCLUSION,38,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
ACCION CIUDADANA,3686,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
ALIANZA DEMOCRATA CRISTIANA,43,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
DE LOS TRABAJADORES,14,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
FRENTE AMPLIO,91,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
INTEGRACION NACIONAL,1324,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
LIBERACION NACIONAL,2584,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
MOVIMIENTO LIBERTARIO,139,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
NUEVA GENERACION,135,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
RENOVACION COSTARRICENSE,74,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
REPUBLICANO SOCIAL CRISTIANO,680,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
RESTAURACION NACIONAL,2916,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
UNIDAD SOCIAL CRISTIANA,2826,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
NULO,128,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
BLANCO,45,SAN JOSE,MORA,26294.00,162.04,162.27,45.94,93.62,7782.00,3.38,68.77,2.98,97.41,8.97,28.44,73.88,38.19,11.57,7.39,10.22,11.08,28.67,10.09,10115,4689,178
ACCESIBILIDAD SIN EXCLUSION,167,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
ACCION CIUDADANA,15556,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
ALIANZA DEMOCRATA CRISTIANA,270,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
DE LOS TRABAJADORES,113,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
FRENTE AMPLIO,516,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
INTEGRACION NACIONAL,5432,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
LIBERACION NACIONAL,9590,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
MOVIMIENTO LIBERTARIO,650,SAN JOSE,GOICOCHEA,115084.00,31.50,3653.46,98.54,89.24,32520.00,3.53,68.02,4.30,98.86,9.78,29.70,72.12,43.62,11.99,9.52,11.68,12.07,37.14,7.30,38075,24711,622
